App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Pixel App 3802,FINANCE,4.7,336661,13M,10000000+,Free,0,Mature 17+,MEDICAL,04-07-2025,3.9.4,4.0 and up
Next Editor 9358,DATING,3,278556,64M,10000+,Free,0,Teen,SOCIAL,06-05-2025,3.0.1,4.1 and up
Sketch App 3815,EDUCATION,1.3,54400,44M,5000000+,Free,0,Mature 17+,EDUCATION,27-07-2025,1.3.7,4.1 and up
Master Manager 9993,EDUCATION,1.5,456824,19M,10000000+,Free,0,Teen,GAME,20-02-2025,2.3.5,5.0 and up
Magic Hub 6730,DATING,2.3,137413,91M,10000+,Free,0,Teen,MAPS_AND_NAVIGATION,15-12-2025,4.0.7,4.0 and up
Pixel Guide 597,NEWS_AND_MAGAZINES,3.3,9443,91M,1000000+,Free,0,Teen,TRAVEL_AND_LOCAL,10-06-2025,4.8.1,5.0 and up
Magic Editor 4206,ENTERTAINMENT,1.8,498152,85M,1000+,Free,0,Everyone,NEWS_AND_MAGAZINES,28-05-2025,2.5.5,4.1 and up
Digital App 3282,MEDICAL,3.2,364277,76M,10000000+,Free,0,Teen,COMMUNICATION,14-07-2025,1.6.1,5.0 and up
Master Maker 1935,FOOD_AND_DRINK,2.8,201835,85M,100000+,Free,0,Everyone,TOOLS,12-11-2025,3.3.3,5.0 and up
Color Editor 1008,BOOKS_AND_REFERENCE,4.7,321694,79M,1000+,Free,0,Mature 17+,FINANCE,07-07-2025,2.2.3,4.0 and up
Creative Studio 878,SHOPPING,2.8,459905,45M,5000000+,Free,0,Teen,ENTERTAINMENT,07-05-2025,5.1.2,4.2 and up
Master Plus 2078,SPORTS,4.8,181174,84M,1000+,Free,0,Mature 17+,MUSIC_AND_AUDIO,18-07-2025,3.6.9,4.0 and up
Go App 8020,MUSIC_AND_AUDIO,3.5,285880,11M,10000000+,Free,0,Teen,TRAVEL_AND_LOCAL,05-07-2025,5.8.5,4.2 and up
